YYYYMMDDHHmmss,Hostname,IP,Severity,Event_Message
20250908191600,h1,10.0.0.1,INFO,Service restarted
20250908193100,h2,10.0.0.2,CRITICAL,OutOfMemory at service X
20250908195300,h1,10.0.0.1,WARN,Service restarted
20250908200200,h2,10.0.0.2,ERROR,OutOfMemory at service X
20250908200700,h3,10.0.0.3,WARN,Service restarted
20250908201400,h2,10.0.0.2,INFO,Disk usage high on /data
20250908201900,h1,10.0.0.1,CRITICAL,Login failures detected
20250908202400,h2,10.0.0.2,CRITICAL,Service restarted
20250908202600,h1,10.0.0.1,CRITICAL,Service restarted
20250908203800,h3,10.0.0.3,ERROR,Disk usage high on /data
20250908205800,h1,10.0.0.1,WARN,Disk usage high on /data
20250908211800,h3,10.0.0.3,INFO,Disk usage high on /data
20250908212000,h3,10.0.0.3,WARN,Disk usage high on /data
20250908213500,h2,10.0.0.2,ERROR,Login failures detected
20250908213600,h3,10.0.0.3,CRITICAL,Service restarted
20250908213900,h3,10.0.0.3,CRITICAL,Login failures detected
20250908214300,h1,10.0.0.1,ERROR,Ping lost to db-server
20250908215500,h2,10.0.0.2,INFO,Ping lost to db-server
20250908220100,h1,10.0.0.1,ERROR,Disk usage high on /data
20250908220600,h3,10.0.0.3,INFO,Disk usage high on /data
20250908223400,h3,10.0.0.3,CRITICAL,OutOfMemory at service X
20250908223900,h2,10.0.0.2,WARN,Disk usage high on /data
20250908230800,h1,10.0.0.1,CRITICAL,Ping lost to db-server
20250908231600,h3,10.0.0.3,INFO,Service restarted
20250908232900,h1,10.0.0.1,CRITICAL,Disk usage high on /data
20250908233900,h3,10.0.0.3,CRITICAL,Ping lost to db-server
20250908234300,h3,10.0.0.3,WARN,Ping lost to db-server
20250908234600,h1,10.0.0.1,CRITICAL,Login failures detected
