YYYYMMDDHHmmss,Hostname,IP,CPU_Usage,Memory_Usage,Swap_Usage,Filesystem_Usage,Ping_Status
20250908013300,h1,10.0.0.1,10,20,7,1,OK
20250908013400,h1,10.0.0.1,95,33,35,84,OK
20250908013500,h1,10.0.0.1,85,64,18,20,OK
20250908013600,h1,10.0.0.1,3,32,11,58,OK
20250908013700,h1,10.0.0.1,99,87,46,54,OK
20250908013800,h1,10.0.0.1,56,86,49,35,OK
20250908013900,h1,10.0.0.1,60,9,37,48,OK
20250908014000,h1,10.0.0.1,43,25,3,13,LOSS
20250908014100,h1,10.0.0.1,21,52,34,97,OK
20250908014200,h1,10.0.0.1,48,71,34,76,OK
20250908014300,h1,10.0.0.1,79,93,2,45,OK
20250908014400,h1,10.0.0.1,56,44,28,70,OK
20250908014500,h1,10.0.0.1,91,57,13,13,OK
20250908014600,h1,10.0.0.1,86,74,36,87,OK
20250908014700,h1,10.0.0.1,68,38,22,29,OK
20250908014800,h1,10.0.0.1,84,5,11,78,OK
20250908014900,h1,10.0.0.1,53,49,5,37,OK
20250908015000,h1,10.0.0.1,71,74,41,94,OK
20250908015100,h1,10.0.0.1,16,10,49,5,OK
20250908015200,h1,10.0.0.1,22,51,43,62,OK
20250908015300,h1,10.0.0.1,27,7,22,1,OK
20250908015400,h1,10.0.0.1,98,14,4,89,OK
20250908015500,h1,10.0.0.1,10,81,12,20,OK
20250908015600,h1,10.0.0.1,68,34,35,6,OK
20250908015700,h1,10.0.0.1,62,90,31,94,OK
20250908015800,h1,10.0.0.1,88,84,9,7,OK
20250908015900,h1,10.0.0.1,26,27,36,29,OK
20250908020000,h1,10.0.0.1,91,73,5,42,OK
20250908020100,h1,10.0.0.1,61,1,5,42,OK
20250908020200,h1,10.0.0.1,63,57,48,38,OK
20250908020300,h1,10.0.0.1,18,21,19,52,OK
20250908020400,h1,10.0.0.1,91,5,47,99,OK
20250908020500,h1,10.0.0.1,90,51,32,74,OK
20250908020600,h1,10.0.0.1,60,20,24,32,OK
20250908020700,h1,10.0.0.1,10,41,5,78,OK
20250908020800,h1,10.0.0.1,26,68,47,81,LOSS
20250908020900,h1,10.0.0.1,86,73,26,96,OK
20250908021000,h1,10.0.0.1,43,78,38,54,OK
20250908021100,h1,10.0.0.1,42,30,8,5,OK
20250908021200,h1,10.0.0.1,91,13,20,51,OK
20250908021300,h1,10.0.0.1,58,92,10,73,OK
20250908021400,h1,10.0.0.1,92,94,3,13,OK
20250908021500,h1,10.0.0.1,76,18,21,55,OK
20250908021600,h1,10.0.0.1,66,88,14,45,OK
20250908021700,h1,10.0.0.1,73,76,26,60,OK
20250908021800,h1,10.0.0.1,49,29,14,8,OK
20250908021900,h1,10.0.0.1,17,57,16,62,OK
20250908022000,h1,10.0.0.1,32,24,7,42,LOSS
20250908022100,h1,10.0.0.1,47,28,32,25,OK
20250908022200,h1,10.0.0.1,16,99,46,97,OK
20250908022300,h1,10.0.0.1,62,50,7,44,OK
20250908022400,h1,10.0.0.1,94,73,6,83,OK
20250908022500,h1,10.0.0.1,78,28,8,28,OK
20250908022600,h1,10.0.0.1,11,60,3,51,OK
20250908022700,h1,10.0.0.1,60,5,41,88,OK
20250908022800,h1,10.0.0.1,36,89,26,72,OK
20250908022900,h1,10.0.0.1,22,57,35,29,OK
20250908023000,h1,10.0.0.1,14,23,46,29,OK
20250908023100,h1,10.0.0.1,37,99,46,7,OK
20250908023200,h1,10.0.0.1,8,10,4,75,OK
20250908023300,h1,10.0.0.1,33,57,42,81,OK
20250908023400,h1,10.0.0.1,85,8,14,42,OK
20250908023500,h1,10.0.0.1,69,39,16,3,OK
20250908023600,h1,10.0.0.1,80,35,10,34,OK
20250908023700,h1,10.0.0.1,9,41,13,5,OK
20250908023800,h1,10.0.0.1,32,20,21,66,OK
20250908023900,h1,10.0.0.1,88,25,3,71,OK
20250908024000,h1,10.0.0.1,9,63,27,44,OK
20250908024100,h1,10.0.0.1,83,29,37,91,OK
20250908024200,h1,10.0.0.1,29,76,15,10,OK
20250908024300,h1,10.0.0.1,90,57,0,16,OK
20250908024400,h1,10.0.0.1,12,98,11,48,OK
20250908024500,h1,10.0.0.1,38,94,38,35,OK
20250908024600,h1,10.0.0.1,34,8,41,23,OK
20250908024700,h1,10.0.0.1,79,43,40,47,LOSS
20250908024800,h1,10.0.0.1,20,33,27,50,OK
20250908024900,h1,10.0.0.1,44,86,47,51,OK
20250908025000,h1,10.0.0.1,89,38,44,48,OK
20250908025100,h1,10.0.0.1,18,78,2,18,OK
20250908025200,h1,10.0.0.1,55,76,30,44,OK
20250908025300,h1,10.0.0.1,93,43,3,65,OK
20250908025400,h1,10.0.0.1,47,99,19,16,OK
20250908025500,h1,10.0.0.1,90,48,28,66,OK
20250908025600,h1,10.0.0.1,99,87,46,20,OK
20250908025700,h1,10.0.0.1,4,39,15,77,OK
20250908025800,h1,10.0.0.1,89,48,38,62,OK
20250908025900,h1,10.0.0.1,66,42,34,77,OK
20250908030000,h1,10.0.0.1,81,39,42,18,OK
20250908030100,h1,10.0.0.1,28,48,4,51,OK
20250908030200,h1,10.0.0.1,22,80,35,78,OK
20250908030300,h1,10.0.0.1,69,21,38,44,OK
20250908030400,h1,10.0.0.1,3,30,40,9,OK
20250908030500,h1,10.0.0.1,19,2,11,66,OK
20250908030600,h1,10.0.0.1,82,45,9,40,OK
20250908030700,h1,10.0.0.1,14,62,18,67,OK
20250908030800,h1,10.0.0.1,24,95,46,13,OK
20250908030900,h1,10.0.0.1,44,28,40,72,OK
20250908031000,h1,10.0.0.1,69,96,42,35,OK
20250908031100,h1,10.0.0.1,28,82,34,73,LOSS
20250908031200,h1,10.0.0.1,30,75,26,29,OK
20250908031300,h1,10.0.0.1,78,64,46,41,OK
20250908031400,h1,10.0.0.1,90,29,30,9,OK
20250908031500,h1,10.0.0.1,7,83,18,9,OK
20250908031600,h1,10.0.0.1,91,18,9,52,OK
20250908031700,h1,10.0.0.1,47,61,40,53,OK
20250908031800,h1,10.0.0.1,20,11,43,67,OK
20250908031900,h1,10.0.0.1,56,89,34,75,OK
20250908032000,h1,10.0.0.1,24,70,16,11,OK
20250908032100,h1,10.0.0.1,60,56,28,5,OK
20250908032200,h1,10.0.0.1,59,93,17,84,OK
20250908032300,h1,10.0.0.1,50,80,11,83,OK
20250908032400,h1,10.0.0.1,47,75,21,82,LOSS
20250908032500,h1,10.0.0.1,26,37,1,57,OK
20250908032600,h1,10.0.0.1,29,30,13,87,OK
20250908032700,h1,10.0.0.1,98,94,25,41,OK
20250908032800,h1,10.0.0.1,13,81,36,54,OK
20250908032900,h1,10.0.0.1,19,90,46,27,OK
20250908033000,h1,10.0.0.1,15,79,9,19,OK
20250908033100,h1,10.0.0.1,28,53,41,85,LOSS
20250908033200,h1,10.0.0.1,81,63,4,81,OK
20250908033300,h1,10.0.0.1,93,83,0,89,OK
20250908033400,h1,10.0.0.1,9,14,49,82,OK
20250908033500,h1,10.0.0.1,13,72,20,69,OK
20250908033600,h1,10.0.0.1,85,2,6,81,OK
20250908033700,h1,10.0.0.1,78,43,19,99,OK
20250908033800,h1,10.0.0.1,46,30,37,68,OK
20250908033900,h1,10.0.0.1,95,88,31,49,LOSS
20250908034000,h1,10.0.0.1,9,56,14,60,OK
20250908034100,h1,10.0.0.1,16,15,36,71,OK
20250908034200,h1,10.0.0.1,55,34,30,22,OK
20250908034300,h1,10.0.0.1,55,64,34,79,OK
20250908034400,h1,10.0.0.1,37,89,20,49,OK
20250908034500,h1,10.0.0.1,84,57,22,22,LOSS
20250908034600,h1,10.0.0.1,12,67,7,98,OK
20250908034700,h1,10.0.0.1,85,97,29,64,OK
20250908034800,h1,10.0.0.1,37,28,47,42,OK
20250908034900,h1,10.0.0.1,85,91,3,88,OK
20250908035000,h1,10.0.0.1,97,25,1,52,OK
20250908035100,h1,10.0.0.1,86,25,10,89,OK
20250908035200,h1,10.0.0.1,79,82,2,25,OK
20250908035300,h1,10.0.0.1,33,37,28,61,OK
20250908035400,h1,10.0.0.1,23,12,1,63,OK
20250908035500,h1,10.0.0.1,36,3,46,8,OK
20250908035600,h1,10.0.0.1,66,30,5,24,OK
20250908035700,h1,10.0.0.1,17,1,31,77,OK
20250908035800,h1,10.0.0.1,92,28,0,98,OK
20250908035900,h1,10.0.0.1,53,34,31,85,OK
20250908040000,h1,10.0.0.1,13,57,49,18,OK
20250908040100,h1,10.0.0.1,81,71,17,76,OK
20250908040200,h1,10.0.0.1,41,61,6,36,OK
20250908040300,h1,10.0.0.1,76,44,8,73,OK
20250908040400,h1,10.0.0.1,1,75,8,10,OK
20250908040500,h1,10.0.0.1,22,82,35,40,OK
20250908040600,h1,10.0.0.1,65,57,31,97,OK
20250908040700,h1,10.0.0.1,3,69,30,50,OK
20250908040800,h1,10.0.0.1,31,18,43,48,OK
20250908040900,h1,10.0.0.1,31,65,27,29,OK
20250908041000,h1,10.0.0.1,80,88,2,37,OK
20250908041100,h1,10.0.0.1,99,77,12,42,OK
20250908041200,h1,10.0.0.1,17,64,45,2,OK
20250908041300,h1,10.0.0.1,80,53,47,26,OK
20250908041400,h1,10.0.0.1,72,34,14,45,OK
20250908041500,h1,10.0.0.1,44,2,37,25,OK
20250908041600,h1,10.0.0.1,44,33,12,8,OK
20250908041700,h1,10.0.0.1,54,91,49,64,OK
20250908041800,h1,10.0.0.1,54,36,21,25,OK
20250908041900,h1,10.0.0.1,77,46,5,16,OK
20250908042000,h1,10.0.0.1,41,87,3,55,OK
20250908042100,h1,10.0.0.1,13,97,11,43,OK
20250908042200,h1,10.0.0.1,69,84,20,65,OK
20250908042300,h1,10.0.0.1,8,35,11,68,OK
20250908042400,h1,10.0.0.1,82,96,7,16,OK
20250908042500,h1,10.0.0.1,66,83,11,17,OK
20250908042600,h1,10.0.0.1,27,58,40,70,OK
20250908042700,h1,10.0.0.1,93,60,28,86,OK
20250908042800,h1,10.0.0.1,65,77,43,82,OK
20250908042900,h1,10.0.0.1,61,67,46,79,OK
20250908043000,h1,10.0.0.1,16,12,42,79,OK
20250908043100,h1,10.0.0.1,99,78,15,75,OK
20250908043200,h1,10.0.0.1,90,53,32,92,OK
20250908043300,h1,10.0.0.1,71,65,30,16,OK
20250908043400,h1,10.0.0.1,26,66,2,47,OK
20250908043500,h1,10.0.0.1,45,53,47,13,OK
20250908043600,h1,10.0.0.1,33,22,38,82,OK
20250908043700,h1,10.0.0.1,81,95,26,31,OK
20250908043800,h1,10.0.0.1,34,70,34,83,OK
20250908043900,h1,10.0.0.1,83,54,31,66,OK
20250908044000,h1,10.0.0.1,90,70,37,19,OK
20250908044100,h1,10.0.0.1,80,71,31,71,LOSS
20250908044200,h1,10.0.0.1,6,28,20,90,OK
20250908044300,h1,10.0.0.1,57,62,24,38,OK
20250908044400,h1,10.0.0.1,57,37,17,26,OK
20250908044500,h1,10.0.0.1,99,69,45,18,OK
20250908044600,h1,10.0.0.1,58,5,38,18,OK
20250908044700,h1,10.0.0.1,79,55,30,39,OK
20250908044800,h1,10.0.0.1,91,7,34,79,OK
20250908044900,h1,10.0.0.1,24,14,32,90,OK
20250908045000,h1,10.0.0.1,76,35,0,42,OK
20250908045100,h1,10.0.0.1,16,79,20,51,OK
20250908045200,h1,10.0.0.1,86,39,9,21,OK
20250908045300,h1,10.0.0.1,1,98,8,17,LOSS
20250908045400,h1,10.0.0.1,38,98,41,71,OK
20250908045500,h1,10.0.0.1,71,12,27,27,OK
20250908045600,h1,10.0.0.1,53,88,47,32,OK
20250908045700,h1,10.0.0.1,52,28,40,65,OK
20250908045800,h1,10.0.0.1,16,54,23,41,OK
20250908045900,h1,10.0.0.1,37,84,5,71,OK
20250908050000,h1,10.0.0.1,86,66,37,61,OK
20250908050100,h1,10.0.0.1,30,10,2,45,OK
20250908050200,h1,10.0.0.1,40,92,34,98,OK
20250908050300,h1,10.0.0.1,15,94,1,61,OK
20250908050400,h1,10.0.0.1,40,86,37,37,OK
20250908050500,h1,10.0.0.1,19,53,7,55,OK
20250908050600,h1,10.0.0.1,44,32,40,57,OK
20250908050700,h1,10.0.0.1,22,8,2,78,OK
20250908050800,h1,10.0.0.1,75,8,0,92,OK
20250908050900,h1,10.0.0.1,45,82,11,96,OK
20250908051000,h1,10.0.0.1,13,46,43,80,OK
20250908051100,h1,10.0.0.1,97,96,44,40,OK
20250908051200,h1,10.0.0.1,59,15,40,29,OK
20250908051300,h1,10.0.0.1,84,73,36,30,OK
20250908051400,h1,10.0.0.1,70,91,17,86,OK
20250908051500,h1,10.0.0.1,55,11,16,30,OK
20250908051600,h1,10.0.0.1,87,99,47,75,LOSS
20250908051700,h1,10.0.0.1,34,52,49,80,OK
20250908051800,h1,10.0.0.1,95,14,1,69,OK
20250908051900,h1,10.0.0.1,20,52,28,71,OK
20250908052000,h1,10.0.0.1,93,67,11,19,OK
20250908052100,h1,10.0.0.1,98,33,21,90,OK
20250908052200,h1,10.0.0.1,85,68,23,74,OK
20250908052300,h1,10.0.0.1,55,94,12,48,OK
20250908052400,h1,10.0.0.1,62,51,43,6,OK
20250908052500,h1,10.0.0.1,77,53,25,67,OK
20250908052600,h1,10.0.0.1,25,63,36,57,OK
20250908052700,h1,10.0.0.1,98,91,39,5,OK
20250908052800,h1,10.0.0.1,45,18,7,16,OK
20250908052900,h1,10.0.0.1,97,50,13,47,OK
20250908053000,h1,10.0.0.1,31,49,15,59,OK
20250908053100,h1,10.0.0.1,21,62,6,13,OK
20250908053200,h1,10.0.0.1,43,5,17,7,OK
20250908053300,h1,10.0.0.1,61,12,48,31,OK
20250908053400,h1,10.0.0.1,4,70,28,16,LOSS
20250908053500,h1,10.0.0.1,82,88,13,57,OK
20250908053600,h1,10.0.0.1,38,52,31,20,OK
20250908053700,h1,10.0.0.1,50,50,36,24,LOSS
20250908053800,h1,10.0.0.1,89,26,45,35,OK
20250908053900,h1,10.0.0.1,44,51,22,29,OK
20250908054000,h1,10.0.0.1,40,17,15,58,OK
20250908054100,h1,10.0.0.1,83,89,46,97,OK
20250908054200,h1,10.0.0.1,6,68,5,25,OK
20250908054300,h1,10.0.0.1,61,72,40,1,OK
20250908054400,h1,10.0.0.1,5,46,20,27,OK
20250908054500,h1,10.0.0.1,59,70,12,64,OK
20250908054600,h1,10.0.0.1,62,83,10,72,OK
20250908054700,h1,10.0.0.1,24,10,12,72,OK
20250908054800,h1,10.0.0.1,75,84,2,15,OK
20250908054900,h1,10.0.0.1,21,6,7,21,OK
20250908055000,h1,10.0.0.1,15,97,26,20,OK
20250908055100,h1,10.0.0.1,37,69,46,43,OK
20250908055200,h1,10.0.0.1,84,2,24,14,OK
20250908055300,h1,10.0.0.1,55,18,8,21,LOSS
20250908055400,h1,10.0.0.1,97,49,31,85,OK
20250908055500,h1,10.0.0.1,89,99,13,97,OK
20250908055600,h1,10.0.0.1,55,26,44,19,OK
20250908055700,h1,10.0.0.1,45,81,8,11,OK
20250908055800,h1,10.0.0.1,28,50,26,80,OK
20250908055900,h1,10.0.0.1,81,38,2,36,OK
20250908060000,h1,10.0.0.1,93,50,49,33,OK
20250908060100,h1,10.0.0.1,31,18,14,79,OK
20250908060200,h1,10.0.0.1,75,56,14,6,OK
20250908060300,h1,10.0.0.1,91,92,48,10,OK
20250908060400,h1,10.0.0.1,13,6,2,67,OK
20250908060500,h1,10.0.0.1,44,9,48,70,OK
20250908060600,h1,10.0.0.1,31,30,35,66,OK
20250908060700,h1,10.0.0.1,93,51,48,60,OK
20250908060800,h1,10.0.0.1,60,2,7,90,OK
20250908060900,h1,10.0.0.1,77,63,2,26,OK
20250908061000,h1,10.0.0.1,32,69,41,63,OK
20250908061100,h1,10.0.0.1,61,44,16,19,OK
20250908061200,h1,10.0.0.1,70,38,10,12,OK
20250908061300,h1,10.0.0.1,28,13,46,80,OK
20250908061400,h1,10.0.0.1,34,92,4,85,OK
20250908061500,h1,10.0.0.1,60,95,25,42,OK
20250908061600,h1,10.0.0.1,87,66,0,60,OK
20250908061700,h1,10.0.0.1,80,80,29,25,OK
20250908061800,h1,10.0.0.1,95,70,30,68,OK
20250908061900,h1,10.0.0.1,4,63,43,7,OK
20250908062000,h1,10.0.0.1,48,57,45,28,OK
20250908062100,h1,10.0.0.1,11,57,33,50,OK
20250908062200,h1,10.0.0.1,71,77,4,95,OK
20250908062300,h1,10.0.0.1,52,50,43,87,OK
20250908062400,h1,10.0.0.1,92,85,4,85,OK
20250908062500,h1,10.0.0.1,14,95,28,5,OK
20250908062600,h1,10.0.0.1,79,76,10,79,OK
20250908062700,h1,10.0.0.1,28,41,16,26,LOSS
20250908062800,h1,10.0.0.1,35,81,22,80,OK
20250908062900,h1,10.0.0.1,99,12,39,12,OK
20250908063000,h1,10.0.0.1,75,18,2,39,OK
20250908063100,h1,10.0.0.1,1,71,38,2,OK
20250908063200,h1,10.0.0.1,3,69,2,47,OK
20250908063300,h1,10.0.0.1,94,24,38,72,OK
20250908063400,h1,10.0.0.1,43,78,37,59,OK
20250908063500,h1,10.0.0.1,57,68,27,71,OK
20250908063600,h1,10.0.0.1,49,38,23,44,OK
20250908063700,h1,10.0.0.1,32,64,18,38,OK
20250908063800,h1,10.0.0.1,53,2,4,89,OK
20250908063900,h1,10.0.0.1,91,69,0,18,OK
20250908064000,h1,10.0.0.1,25,98,5,35,LOSS
20250908064100,h1,10.0.0.1,74,90,23,62,OK
20250908064200,h1,10.0.0.1,75,6,20,55,OK
20250908064300,h1,10.0.0.1,18,7,42,74,OK
20250908064400,h1,10.0.0.1,33,58,8,26,OK
20250908064500,h1,10.0.0.1,91,90,18,81,OK
20250908064600,h1,10.0.0.1,18,95,34,35,LOSS
20250908064700,h1,10.0.0.1,54,43,49,78,OK
20250908064800,h1,10.0.0.1,62,40,27,93,OK
20250908064900,h1,10.0.0.1,4,61,10,24,OK
20250908065000,h1,10.0.0.1,4,99,19,84,OK
20250908065100,h1,10.0.0.1,50,81,32,29,OK
20250908065200,h1,10.0.0.1,84,84,22,62,OK
20250908065300,h1,10.0.0.1,5,5,44,57,OK
20250908065400,h1,10.0.0.1,67,86,12,90,OK
20250908065500,h1,10.0.0.1,70,8,8,29,OK
20250908065600,h1,10.0.0.1,53,44,16,84,OK
20250908065700,h1,10.0.0.1,22,15,41,9,OK
20250908065800,h1,10.0.0.1,26,85,33,59,OK
20250908065900,h1,10.0.0.1,65,93,47,88,LOSS
20250908070000,h1,10.0.0.1,52,35,14,43,OK
20250908070100,h1,10.0.0.1,38,44,9,22,OK
20250908070200,h1,10.0.0.1,25,12,49,28,LOSS
20250908070300,h1,10.0.0.1,85,90,10,8,OK
20250908070400,h1,10.0.0.1,94,97,24,36,OK
20250908070500,h1,10.0.0.1,98,54,22,49,OK
20250908070600,h1,10.0.0.1,26,85,3,49,OK
20250908070700,h1,10.0.0.1,48,39,33,17,OK
20250908070800,h1,10.0.0.1,3,52,21,74,OK
20250908070900,h1,10.0.0.1,57,93,29,83,OK
20250908071000,h1,10.0.0.1,17,12,37,30,OK
20250908071100,h1,10.0.0.1,57,51,37,26,OK
20250908071200,h1,10.0.0.1,20,78,45,33,OK
20250908071300,h1,10.0.0.1,56,75,47,80,OK
20250908071400,h1,10.0.0.1,89,62,9,99,OK
20250908071500,h1,10.0.0.1,44,7,11,27,OK
20250908071600,h1,10.0.0.1,95,14,37,70,OK
20250908071700,h1,10.0.0.1,74,97,16,5,OK
20250908071800,h1,10.0.0.1,9,79,8,28,OK
20250908071900,h1,10.0.0.1,10,85,7,25,OK
20250908072000,h1,10.0.0.1,49,38,35,70,OK
20250908072100,h1,10.0.0.1,47,12,49,52,OK
20250908072200,h1,10.0.0.1,71,23,45,48,OK
20250908072300,h1,10.0.0.1,91,62,3,19,OK
20250908072400,h1,10.0.0.1,13,44,15,20,OK
20250908072500,h1,10.0.0.1,1,38,37,23,OK
20250908072600,h1,10.0.0.1,34,57,46,99,OK
20250908072700,h1,10.0.0.1,10,49,36,60,OK
20250908072800,h1,10.0.0.1,83,4,47,85,OK
20250908072900,h1,10.0.0.1,92,63,19,4,OK
20250908073000,h1,10.0.0.1,16,86,46,89,OK
20250908073100,h1,10.0.0.1,80,37,45,51,LOSS
20250908073200,h1,10.0.0.1,22,71,13,72,OK
20250908073300,h1,10.0.0.1,41,17,30,63,OK
20250908073400,h1,10.0.0.1,1,92,24,97,OK
20250908073500,h1,10.0.0.1,83,21,32,69,OK
20250908073600,h1,10.0.0.1,45,91,15,91,OK
20250908073700,h1,10.0.0.1,88,33,3,25,OK
20250908073800,h1,10.0.0.1,67,62,9,94,OK
20250908073900,h1,10.0.0.1,80,98,30,75,LOSS
20250908074000,h1,10.0.0.1,83,58,11,64,OK
20250908074100,h1,10.0.0.1,50,66,22,73,OK
20250908074200,h1,10.0.0.1,3,94,16,13,OK
20250908074300,h1,10.0.0.1,23,76,33,55,LOSS
20250908074400,h1,10.0.0.1,65,55,38,64,OK
20250908074500,h1,10.0.0.1,61,40,24,65,OK
20250908074600,h1,10.0.0.1,77,16,15,21,OK
20250908074700,h1,10.0.0.1,5,39,40,10,OK
20250908074800,h1,10.0.0.1,11,17,26,30,OK
20250908074900,h1,10.0.0.1,49,68,42,26,OK
20250908075000,h1,10.0.0.1,46,56,18,30,OK
20250908075100,h1,10.0.0.1,29,40,33,37,LOSS
20250908075200,h1,10.0.0.1,5,63,26,73,OK
20250908075300,h1,10.0.0.1,42,95,5,69,OK
20250908075400,h1,10.0.0.1,15,7,1,8,OK
20250908075500,h1,10.0.0.1,99,89,9,51,OK
20250908075600,h1,10.0.0.1,88,52,3,84,OK
20250908075700,h1,10.0.0.1,16,8,36,54,LOSS
20250908075800,h1,10.0.0.1,12,9,4,43,OK
20250908075900,h1,10.0.0.1,31,63,47,82,OK
20250908080000,h1,10.0.0.1,98,24,17,14,OK
20250908080100,h1,10.0.0.1,98,20,48,77,OK
20250908080200,h1,10.0.0.1,33,17,45,43,OK
20250908080300,h1,10.0.0.1,15,44,27,25,OK
20250908080400,h1,10.0.0.1,8,69,6,75,OK
20250908080500,h1,10.0.0.1,62,79,3,5,OK
20250908080600,h1,10.0.0.1,1,27,35,11,OK
20250908080700,h1,10.0.0.1,44,36,28,99,LOSS
20250908080800,h1,10.0.0.1,75,50,48,16,OK
20250908080900,h1,10.0.0.1,23,91,13,91,OK
20250908081000,h1,10.0.0.1,63,31,42,73,OK
20250908081100,h1,10.0.0.1,17,2,32,33,OK
20250908081200,h1,10.0.0.1,43,10,28,12,OK
