YYYYMMDDHHmmss,Hostname,Event_Message
20250908183900,h2,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908185300,h1,Oracle ORA Event: ORA-00060 deadlock detected
20250908192700,h3,Oracle ORA Event: ORA-01555 snapshot too old
20250908193300,h2,Oracle ORA Event: ORA-01555 snapshot too old
20250908200200,h1,Oracle ORA Event: ORA-00060 deadlock detected
20250908201400,h2,Oracle ORA Event: ORA-1653 unable to extend table
20250908203900,h2,Oracle ORA Event: ORA-1653 unable to extend table
20250908213400,h2,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908220500,h1,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908220800,h3,Oracle ORA Event: ORA-01555 snapshot too old
20250908222000,h1,Oracle ORA Event: ORA-1653 unable to extend table
20250908222800,h1,Oracle ORA Event: ORA-01555 snapshot too old
20250908224900,h1,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908225000,h1,Oracle ORA Event: ORA-1653 unable to extend table
20250908225500,h2,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908231600,h2,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908232300,h1,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908233300,h3,Oracle ORA Event: ORA-12170 TNS:Connect timeout occurred
20250908233600,h1,Oracle ORA Event: ORA-00060 deadlock detected
20250908235400,h1,Oracle ORA Event: ORA-01555 snapshot too old
